yahG	307953	309371	+	0.252509997	50	ECD_RS25070	309421	309717	+	1.223404535
aroL	371030	371554	+	12.90986914	50	yaiA	371604	371795	+	11.28285432
chiP	668208	669614	+	0.509333332	50	chiQ	669664	669990	+	1.929034101
phoH	1089551	1090339	+	2.871310034	50	pgaD	1090389	1090802	-	0.111377331
purU	1275574	1276416	-	50.95294869	50	ychJ	1276466	1276924	-	27.82132009
ynaJ	1382533	1382790	+	41.91836834	50	uspE	1382840	1383790	-	9.715399133
nupC	2390928	2392130	+	92.8758999	50	pdeA	2392180	2394369	-	3.756710543
ygbE	2712982	2713305	-	9.039940478	50	cysC	2713355	2713960	-	2.23719339
pgk	2902317	2903480	-	172.69711	50	epd	2903530	2904549	-	45.58837725
frlB	3360869	3361891	+	0.910442969	50	frlC	3361941	3362771	+	0.907367641
ghrB	3579464	3580438	+	20.75895353	50	yiaF	3580488	3581198	-	70.21684567
yiiG	3993589	3994644	+	0.597754986	50	frvR	3994694	3996442	-	1.130899165
treC	4374696	4376351	-	1.29609572	50	treB	4376401	4377822	-	1.022769539
yjiX	4495992	4496195	-	24.22147039	50	btsT	4496245	4498395	-	119.0094358
fixB	47384	48325	+	0.191970392	51	fixC	48376	49662	+	0.278448767
fhuA	170327	172570	+	3.437458891	51	fhuC	172621	173418	+	2.051237329
citT	604947	606410	-	0.671439861	51	citG	606461	607339	-	0.153437524
ybgQ	708289	710748	-	0.200313822	51	ECD_RS03485	710799	711365	-	0.395118508
mppA	1379594	1381207	+	4.833613392	51	ynaI	1381258	1382289	-	2.190896431
ynbD	1434172	1435488	+	0.841761801	51	azoR	1435539	1436144	-	11.10356246
lhr	1674283	1678899	+	1.737279912	51	grxD	1678950	1679297	-	156.185698
chbA	1763868	1764218	-	1.016358147	51	chbC	1764269	1765627	-	0.32445731
ECD_RS10200	2000142	2000839	-	8.75650342	51	wbbD	2000890	2001657	-	11.3620609
pphB	2699727	2700383	+	0.74225348	51	ygbI	2700434	2701201	-	7.10624875
csdE	2782822	2783265	+	26.63127945	51	tcdA	2783316	2784122	-	25.57663056
ssnA	2850022	2851350	+	0.172899247	51	ygfM	2851401	2852180	+	0.396942845
yqhG	3025087	3026013	+	0.770287199	51	yqhH	3026064	3026321	+	2.054172444
yhaI	3119209	3119565	+	0.620124746	51	yhaJ	3119616	3120512	-	17.02176347
yhbP	3167971	3168414	-	3.701091823	51	yhbQ	3168465	3168767	+	14.96522011
crp	3345721	3346353	+	159.6759446	51	yhfK	3346404	3348494	+	12.0313121
treF	3530780	3532429	+	0.92227179	51	yhjB	3532480	3533082	-	1.867562611
atpG	3806203	3807066	-	522.493365	51	atpA	3807117	3808658	-	769.8448417
frwB	4052171	4052491	+	0.843665885	51	pflD	4052542	4054839	+	1.128147315
yjfJ	4317073	4317771	+	0.19306271	51	yjfK	4317822	4318481	+	0.134767855
dinB	255464	256519	+	2.953507313	52	yafN	256571	256864	+	4.304691225
lacY	331461	332714	-	0.070828473	52	lacZ	332766	335840	-	0.348298836
fadM	433448	433846	+	2.018118154	52	queC	433898	434593	-	16.73515776
ECD_RS03630	739504	739579	+	817.6426061	52	ECD_RS03635	739631	739706	+	1334.543433
ycaQ	974479	975711	+	3.296545362	52	ycaR	975763	975945	+	56.36220361
yceD	1149361	1149882	+	787.0979199	52	rpmF	1149934	1150107	+	1447.255877
fadR	1223086	1223805	+	31.79871561	52	ycgB	1223857	1225389	-	0.78497019
ttcA	1396181	1397116	-	26.69964715	52	intR	1397168	1398403	-	2.77796887
ydeM	1535114	1536271	-	0.232810915	52	ydeN	1536323	1538005	-	0.296589363
yegW	2079830	2080576	-	3.829745379	52	yegX	2080628	2081446	-	1.845181422
yfeD	2395350	2395742	+	6.875182864	52	gltX	2395794	2397209	-	132.696921
ilvA	3845573	3847117	+	41.56483932	52	ilvY	3847169	3848062	-	10.15476193
rarD	3896163	3897053	-	11.31001514	52	yigI	3897105	3897572	-	20.98681613
efp	4282775	4283341	+	384.6560414	52	ecnA	4283393	4283518	+	42.73813562
deoA	4536604	4537926	+	6.365955983	52	deoB	4537978	4539201	+	24.21101425
yjjX	4550525	4551046	-	17.48969632	52	gpmB	4551098	4551745	+	44.9173744
surA	57612	58898	-	65.52015879	53	lptD	58951	61305	-	40.66669645
yaeF	219022	219846	-	1.534830112	53	proS	219899	221617	-	172.1233591
dnaX	461138	463069	+	37.34848719	53	ybaB	463122	463451	+	187.6764231
